Cod_setor,Situacao_setor,V062,V063,V064,V065,V066,V067,V068,V081,V082,V083,V084,V085,V086,V087,qtdH,qtdM,Predominancia
230020010000002,1,10,24,27,6,8,3,4,14,15,9,7,4,3,4,82,56,Homem
230020010000003,8,18,24,18,20,9,6,11,15,12,11,5,6,5,6,106,60,Homem
230020010000004,8,24,20,8,11,7,9,9,14,27,38,22,13,23,3,88,140,Mulher
230020010000005,8,18,17,25,22,14,10,7,12,6,7,5,4,4,7,113,45,Homem
230020010000006,8,13,23,20,11,5,9,5,5,4,3,5,0,2,2,86,21,Homem
230020010000007,8,18,32,27,22,7,10,2,4,2,7,4,0,1,5,118,23,Homem
230020010000008,8,14,25,27,23,9,13,7,8,7,5,10,0,5,8,118,43,Homem
230020010000009,5,24,36,25,19,10,8,4,13,14,9,2,1,2,3,126,44,Homem
230020010000010,5,10,9,17,10,5,4,8,6,8,6,5,1,0,2,63,28,Homem
230020010000011,8,11,17,18,15,5,4,6,26,50,50,18,10,26,8,76,188,Mulher
230020010000012,8,6,14,18,8,0,4,5,6,7,3,2,0,1,3,55,22,Homem
230020010000013,8,16,38,25,13,7,5,3,3,7,5,3,1,3,4,107,26,Homem
230020010000014,1,16,20,17,8,4,5,10,12,18,12,9,8,3,6,80,68,Homem
230020010000015,8,4,11,6,2,2,1,5,9,13,4,6,7,2,1,31,42,Mulher
230020010000016,8,10,17,18,13,8,2,1,4,3,2,1,3,1,2,69,16,Homem
230020010000017,5,9,18,9,5,4,4,5,7,6,2,2,1,0,2,54,20,Homem
230020030000001,1,18,18,9,12,6,7,4,4,10,9,7,4,4,4,74,42,Homem
230020030000002,8,19,41,42,20,15,34,9,7,17,11,7,4,11,3,180,60,Homem
230020030000003,8,0,1,2,4,1,1,0,3,0,2,0,0,0,1,9,6,Homem
230020030000004,8,6,14,12,6,2,4,5,10,15,13,11,9,7,4,49,69,Mulher
230020030000005,8,26,30,31,21,16,12,14,9,11,5,4,3,3,6,150,41,Homem
230020030000006,8,5,17,8,5,7,9,7,10,17,18,12,7,15,2,58,81,Mulher
230020030000007,8,18,30,36,25,11,17,9,12,23,22,11,8,2,4,146,82,Homem
230020030000008,8,33,49,51,32,18,15,20,14,8,17,3,6,5,10,218,63,Homem
230020030000009,8,7,16,30,7,5,2,5,20,27,30,20,11,10,7,72,125,Mulher
230020030000010,8,20,27,24,17,7,24,5,14,8,6,6,4,5,6,124,49,Homem
230020030000011,8,4,9,5,4,4,4,2,0,2,0,0,0,1,0,32,3,Homem
230020030000012,8,9,6,6,10,2,9,4,0,3,5,7,3,3,1,46,22,Homem
230020030000013,5,22,38,25,15,8,10,14,19,20,14,21,9,14,2,132,99,Homem
230020030000014,8,7,13,17,14,6,9,5,4,7,7,3,1,4,2,71,28,Homem
230020030000015,5,8,22,17,2,13,9,3,6,18,21,19,14,12,0,74,90,Mulher
230020030000016,1,41,51,36,17,16,8,15,49,84,84,46,18,18,17,184,316,Mulher
230020030000017,5,4,16,21,8,5,6,4,7,3,4,4,1,4,1,64,24,Homem
230020040000001,1,12,24,27,17,5,8,5,13,22,7,1,3,3,5,98,54,Homem
230020040000002,8,16,32,18,26,12,10,6,10,8,10,10,1,8,1,120,48,Homem
230020040000003,8,19,19,24,18,10,23,6,3,2,5,5,3,3,0,119,21,Homem
230020040000004,8,10,25,21,14,10,23,14,7,10,8,4,2,4,1,117,36,Homem
230020040000005,8,1,1,2,2,1,4,0,0,0,0,0,0,0,1,11,1,Homem
230030905000001,1,16,28,26,10,7,3,9,14,21,15,7,1,2,12,99,72,Homem
230030905000002,1,25,20,19,7,2,0,18,38,34,17,7,4,4,22,91,126,Mulher
230030905000003,1,16,9,19,1,2,0,4,14,7,7,0,1,0,18,51,47,Homem
230030905000004,1,35,33,40,17,2,2,8,19,9,10,7,0,1,11,137,57,Homem
230030905000005,1,17,19,18,8,2,1,7,18,16,8,6,1,3,14,72,66,Homem
230030905000006,1,5,21,11,9,1,0,4,18,22,24,13,6,3,8,51,94,Mulher
230030905000007,1,26,23,33,12,4,3,10,18,23,14,5,5,1,19,111,85,Homem
230030905000008,1,4,12,4,2,0,1,2,7,8,1,1,4,0,2,25,23,Homem
230030905000009,1,22,23,18,10,4,2,9,12,13,13,7,1,3,6,88,55,Homem
230030905000010,1,9,8,5,7,2,0,6,14,19,12,2,0,0,7,37,54,Mulher
230030905000011,1,14,15,19,5,3,1,2,13,10,10,2,0,0,4,59,39,Homem
230030905000012,1,3,9,2,1,0,0,2,4,8,6,0,1,1,2,17,22,Mulher
230030905000013,1,20,22,34,10,2,1,4,8,9,6,5,2,1,2,93,33,Homem
230030905000014,1,41,57,52,22,7,3,15,28,35,21,8,3,1,30,197,126,Homem
230030905000015,1,31,23,23,22,4,2,17,49,56,44,23,5,4,23,122,204,Mulher
230030905000016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230030905000017,1,30,49,33,23,6,2,19,18,16,10,5,6,3,12,162,70,Homem
230030905000018,1,34,45,39,13,8,8,15,14,26,17,8,5,1,12,162,83,Homem
230030905000019,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230030905000021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230030905000022,1,18,18,32,8,4,6,8,23,25,17,6,3,4,15,94,93,Homem
230030905000023,1,4,9,1,3,1,2,1,10,11,12,1,1,1,5,21,41,Mulher
230030905000024,1,38,60,63,20,10,6,16,15,21,13,10,0,2,15,213,76,Homem
230030905000025,1,19,38,29,20,7,4,11,24,19,13,10,5,6,18,128,95,Homem
230030905000026,1,42,65,55,35,9,13,25,45,32,35,15,6,4,20,244,157,Homem
230030905000027,1,10,8,3,0,2,1,3,19,18,16,10,5,1,7,27,76,Mulher
230030905000028,1,15,28,23,21,2,2,8,12,14,9,8,1,3,10,99,57,Homem
230030905000029,1,5,8,5,6,1,2,2,0,1,0,1,0,0,0,29,2,Homem
230030905000030,1,32,66,62,32,7,9,12,21,16,10,13,1,0,21,220,82,Homem
230030905000031,8,24,29,36,30,9,25,19,7,4,5,4,1,4,7,172,32,Homem
230030905000032,8,43,44,41,24,18,16,6,10,7,3,3,3,2,2,192,30,Homem
230030905000033,8,53,59,52,24,15,12,21,14,10,14,3,0,2,13,236,56,Homem
230030905000034,8,11,16,9,11,1,2,7,17,21,16,7,2,1,1,57,65,Mulher
230030905000035,8,20,16,12,13,1,12,14,13,31,16,14,9,3,13,88,99,Mulher
230030905000036,8,10,15,20,12,4,4,15,8,8,3,4,2,2,5,80,32,Homem
230030905000037,8,45,42,31,32,25,22,13,14,12,6,6,4,4,6,210,52,Homem
230030905000038,1,23,27,19,14,3,1,10,26,20,20,7,6,3,11,97,93,Homem
230030905000039,1,20,21,27,15,4,2,10,14,23,24,12,2,3,10,99,88,Homem
230030905000040,1,36,39,32,18,7,2,11,34,28,16,6,3,1,33,145,121,Homem
230030905000041,1,21,19,9,5,2,2,12,56,38,44,11,9,2,14,70,174,Mulher
230030905000042,1,8,23,14,8,4,0,6,14,7,11,3,1,0,8,63,44,Homem
230030905000043,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230030905000044,1,26,31,39,13,8,5,12,16,12,13,4,2,1,12,134,60,Homem
230030905000045,1,11,5,11,3,2,0,5,11,6,8,4,2,1,9,37,41,Mulher
230030905000047,1,1,1,4,1,2,2,0,2,1,0,1,0,0,1,11,5,Homem
230030905000048,1,37,47,41,14,6,2,17,37,18,24,17,3,4,19,164,122,Homem
230030905000049,8,11,20,10,10,4,2,6,4,10,10,1,1,2,4,63,32,Homem
230030905000050,8,31,45,40,11,8,7,12,6,7,4,1,0,0,3,154,21,Homem
230030907000001,1,25,22,18,8,2,0,2,6,4,2,0,0,0,8,77,20,Homem
230030907000002,8,38,27,33,21,6,11,3,7,1,0,1,1,1,4,139,15,Homem
230030907000003,8,23,32,18,17,10,15,12,2,1,4,1,0,1,2,127,11,Homem
230030907000004,8,43,53,56,26,17,19,12,10,13,12,6,0,1,11,226,53,Homem
230030910000001,1,9,9,4,1,3,2,2,4,1,0,1,0,1,1,30,8,Homem
230030910000002,8,7,19,10,17,5,1,11,11,13,7,8,2,3,4,70,48,Homem
230030910000003,8,24,24,25,14,10,3,8,8,7,7,6,1,5,2,108,36,Homem
230030910000004,8,11,7,14,2,4,3,3,0,0,1,0,0,0,1,44,2,Homem
230030915000001,1,21,16,24,15,2,3,13,10,10,5,3,2,2,5,94,37,Homem
230030915000002,8,25,33,27,16,4,1,15,9,12,4,0,1,0,6,121,32,Homem
230030915000003,5,52,34,28,14,5,6,9,10,12,10,3,1,1,3,148,40,Homem
230030915000004,8,18,18,21,8,8,11,7,9,3,5,4,2,3,5,91,31,Homem
230030920000001,1,6,4,6,5,1,0,1,3,2,3,1,0,0,1,23,10,Homem
230030920000002,8,17,23,21,11,15,18,3,13,7,9,5,2,2,8,108,46,Homem
230030920000003,5,6,17,11,9,3,1,8,5,4,6,0,0,0,1,55,16,Homem
230030920000004,8,23,16,24,24,3,1,4,4,1,0,0,0,0,0,95,5,Homem
230030925000001,1,13,18,14,7,1,3,9,23,33,26,15,5,1,14,65,117,Mulher
230030925000002,8,48,67,45,30,10,13,20,20,10,9,1,2,2,9,233,53,Homem
230030925000003,8,10,9,10,6,3,3,7,18,19,13,3,5,2,4,48,64,Mulher
230030925000004,8,7,11,9,9,2,3,3,2,1,3,0,0,1,1,44,8,Homem
230030925000005,8,25,40,40,11,7,6,21,9,10,8,7,0,3,3,150,40,Homem
230030925000006,8,13,34,18,15,11,3,2,9,6,0,2,1,2,5,96,25,Homem
230030925000007,1,11,18,13,4,2,1,6,20,26,15,7,2,1,3,55,74,Mulher
230030925000008,8,47,61,48,42,11,20,12,11,10,10,7,0,1,10,241,49,Homem
230030925000009,8,11,21,26,12,10,6,6,4,2,0,1,1,0,1,92,9,Homem
230030925000010,8,1,5,4,0,0,0,0,0,0,0,0,0,0,0,10,0,Homem
230030925000011,8,1,2,1,0,0,0,0,0,0,0,1,0,0,0,4,1,Homem
230030925000012,8,6,12,4,3,0,0,2,2,2,2,0,0,1,3,27,10,Homem
230030930000001,1,28,35,24,11,6,1,4,8,9,6,0,0,0,15,109,38,Homem
230030930000002,8,27,39,50,24,15,14,15,22,19,20,10,2,4,9,184,86,Homem
230030930000003,8,42,59,52,27,11,11,14,14,9,8,6,2,1,8,216,48,Homem
230030930000004,8,54,69,53,24,13,13,9,11,10,8,0,1,0,12,235,42,Homem
230030931000001,1,25,27,22,9,2,3,4,9,6,4,5,1,1,5,92,31,Homem
230030931000002,8,21,25,31,30,17,27,10,3,1,3,1,1,3,1,161,13,Homem
230030931000003,8,37,42,42,43,15,23,8,7,5,8,5,3,1,3,210,32,Homem
230030931000004,1,42,39,42,14,14,2,7,10,11,6,3,1,0,15,160,46,Homem
230030933000001,1,9,12,4,5,2,1,0,2,2,1,1,1,0,1,33,8,Homem
230030933000002,8,66,61,54,26,10,9,13,10,11,11,2,1,1,3,239,39,Homem
230030935000001,1,18,16,14,8,2,4,11,28,31,31,14,5,6,7,73,122,Mulher
230030935000002,8,20,21,16,15,7,3,5,11,6,3,3,0,0,3,87,26,Homem
230030935000003,5,6,4,8,5,1,2,2,4,2,2,4,2,0,2,28,16,Homem
230030935000004,8,30,31,22,21,7,4,2,4,2,2,0,2,0,9,117,19,Homem
230030935000005,8,24,46,42,19,18,19,10,3,2,7,4,3,0,4,178,23,Homem
230030935000006,8,13,32,24,20,8,9,7,4,3,0,1,0,1,5,113,14,Homem
230030935000007,8,30,51,33,25,12,15,7,4,7,1,3,0,5,4,173,24,Homem
230030935000008,8,28,37,33,30,16,11,5,11,7,1,2,0,0,1,160,22,Homem
230030935000009,1,20,16,8,10,4,4,6,19,32,20,4,4,2,7,68,88,Mulher
230030935000010,8,23,23,16,18,4,4,3,8,4,0,0,0,2,3,91,17,Homem
230040805000001,1,31,30,25,15,8,1,7,24,17,18,3,4,0,16,117,82,Homem
230040805000002,1,24,19,22,9,3,2,8,25,19,10,6,0,0,14,87,74,Homem
230040805000003,1,23,30,28,12,3,3,11,26,23,9,3,2,0,16,110,79,Homem
230040805000004,8,11,30,16,7,9,4,13,10,7,7,3,6,4,7,90,44,Homem
230040805000005,5,41,31,26,23,4,5,8,12,7,11,5,4,1,15,138,55,Homem
230040805000006,8,4,7,7,4,3,7,7,8,4,13,8,0,5,2,39,40,Mulher
230040805000007,8,9,9,13,7,1,5,1,2,1,1,0,0,0,4,45,8,Homem
230040805000008,8,21,26,18,22,9,6,14,4,3,5,2,2,1,4,116,21,Homem
230040805000009,8,0,2,0,1,0,0,1,6,9,11,7,3,5,0,4,41,Mulher
230040805000010,8,4,2,2,3,0,1,5,8,16,19,15,7,7,2,17,74,Mulher
230040805000011,8,17,16,18,18,5,8,8,4,2,3,2,0,5,2,90,18,Homem
230040805000012,8,11,23,10,10,3,4,3,2,0,2,2,0,0,0,64,6,Homem
230040805000013,5,3,6,4,1,1,3,2,9,14,2,7,2,1,7,20,42,Mulher
230040805000014,8,7,21,11,6,5,2,11,2,2,3,1,0,1,0,63,9,Homem
230040805000015,8,8,10,6,1,2,9,5,0,0,0,2,0,2,1,41,5,Homem
230040805000016,8,14,19,21,9,5,6,5,4,2,1,5,1,1,1,79,15,Homem
230040805000017,1,10,17,17,8,4,1,8,18,8,5,3,2,4,4,65,44,Homem
230040805000018,1,12,18,17,8,2,2,8,25,16,4,2,2,1,16,67,66,Homem
230040805000019,1,19,33,40,21,6,6,11,17,11,9,5,2,4,13,136,61,Homem
230040805000020,8,6,12,10,4,4,7,10,12,10,6,11,6,5,1,53,51,Homem
230040805000021,8,12,12,8,8,4,2,3,11,16,15,11,4,4,5,49,66,Mulher
230040805000022,8,27,32,17,25,10,13,19,6,11,4,6,3,2,1,143,33,Homem
230040805000023,8,23,31,34,17,14,6,17,29,27,13,19,9,8,11,142,116,Homem
230040805000024,5,10,9,3,2,0,1,2,5,5,1,0,0,1,2,27,14,Homem
230040810000001,1,34,47,39,21,19,11,11,19,16,9,4,2,3,25,182,78,Homem
230040810000002,8,13,7,17,16,4,8,1,3,2,0,3,2,0,2,66,12,Homem
230040810000003,8,6,19,13,7,11,10,5,5,13,14,8,10,4,5,71,59,Homem
230040810000004,8,7,16,22,23,14,18,7,3,7,8,4,4,6,1,107,33,Homem
230040810000005,8,21,25,28,18,11,16,6,3,15,10,6,5,5,4,125,48,Homem
230040810000006,5,35,40,34,28,11,11,9,13,20,12,7,5,2,10,168,69,Homem
230040810000007,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230040810000008,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230040810000009,8,13,17,30,11,10,17,10,20,24,20,15,5,6,10,108,100,Homem
230040810000010,8,1,3,3,3,1,2,0,2,2,3,3,0,0,0,13,10,Homem
230040810000011,8,18,27,25,21,10,20,3,5,5,4,7,5,3,3,124,32,Homem
230040810000012,8,20,20,35,15,9,11,1,6,5,7,7,2,2,2,111,31,Homem
230050705000001,1,14,22,11,9,5,2,0,11,8,5,11,3,2,10,63,50,Homem
230050705000002,1,21,44,37,28,8,2,4,9,14,6,3,0,1,8,144,41,Homem
230050705000003,1,3,1,2,1,1,0,0,2,0,2,0,0,0,0,8,4,Homem
230050705000004,1,27,37,30,20,4,7,7,18,20,12,3,5,7,13,132,78,Homem
230050705000005,1,1,6,11,4,1,0,1,1,2,2,0,0,0,0,24,5,Homem
230050705000006,8,22,16,17,11,6,8,9,31,40,26,15,10,18,7,89,147,Mulher
230050705000007,8,16,21,12,7,8,12,5,3,3,1,2,0,0,3,81,12,Homem
230050705000008,5,7,17,9,5,6,5,3,8,8,8,4,2,6,9,52,45,Homem
230050705000009,8,7,15,17,6,9,4,5,10,2,9,1,0,1,7,63,30,Homem
230050705000010,5,4,18,9,10,3,0,2,2,2,4,1,0,0,3,46,12,Homem
230050705000011,8,15,27,20,12,8,11,8,10,3,3,2,4,2,5,101,29,Homem
230050705000012,8,12,35,29,12,9,4,10,12,25,9,7,2,5,2,111,62,Homem
230050705000013,8,30,42,32,24,8,15,12,14,17,16,2,6,7,15,163,77,Homem
230050705000014,8,12,35,37,20,11,21,7,11,6,4,5,4,0,3,143,33,Homem
230050705000015,8,13,49,43,32,16,21,9,10,8,9,4,3,3,6,183,43,Homem
230050705000016,1,26,55,49,30,15,7,6,26,29,17,10,6,8,13,188,109,Homem
230050705000017,8,11,33,26,18,7,18,6,10,10,6,6,4,1,13,119,50,Homem
230050710000001,1,9,18,11,7,4,4,7,8,17,17,5,7,4,10,60,68,Mulher
230050710000002,8,17,32,31,17,14,21,4,5,11,4,5,8,11,7,136,51,Homem
230060605000001,1,24,23,15,7,3,3,10,15,10,5,6,3,1,13,85,53,Homem
230060605000002,1,37,35,37,34,11,10,12,24,34,17,8,7,5,6,176,101,Homem
230060605000003,1,15,26,21,16,3,5,12,26,23,7,3,2,2,21,98,84,Homem
230060605000004,1,17,25,24,10,2,3,12,43,22,16,2,3,2,26,93,114,Mulher
230060605000005,8,16,36,33,23,9,11,12,12,10,5,4,2,1,8,140,42,Homem
230060605000006,8,10,12,7,6,5,6,4,0,0,1,0,1,0,2,50,4,Homem
230060605000007,1,20,26,27,8,1,1,11,22,18,9,3,0,1,13,94,66,Homem
230060605000008,1,33,41,23,12,3,4,9,25,25,14,8,2,1,14,125,89,Homem
230060605000009,1,27,41,44,19,9,10,9,33,29,19,13,5,4,16,159,119,Homem
230060605000010,8,13,24,15,7,3,6,4,2,4,1,2,1,0,5,72,15,Homem
230060605000011,5,9,23,13,13,8,6,3,4,1,3,3,2,0,3,75,16,Homem
230060610000001,1,14,14,16,9,2,1,4,22,13,4,2,2,0,6,60,49,Homem
230060610000002,8,13,16,11,9,6,2,8,14,9,9,1,2,3,7,65,45,Homem
230070505000001,1,12,11,8,2,2,0,5,18,17,9,4,3,1,6,40,58,Mulher
